Thai_Name,Botanical_NoAuthor,Botanical_Name,Count_Tags,Cout_GBH_2023,Cout_GBH_2025,Min_Height_2023,Mean_Height_2023,Max_Height_2023,Min_Height_2025,Mean_Height_2025,Max_Height_2025
กรวยป่า,Casearia grewiifolia,Casearia grewiifolia Vent.,7,7,7,5,8.13,14,5.8,9.1,12.2
กระดังงาไทย,Cananga odorata,"Cananga odorata (Lam.) Hook.f. & Thomson",2,2,2,17.3,18.8,20.3,21,21.6,22.2
กระถินณรงค์,Acacia auriculiformis,"Acacia auriculiformis A.Cunn. ex Benth.",90,37,88,4.5,9.9,17.2,1.1,10.87,61.1
กระถินยักษ์,Leucaena leucocephala,"Leucaena leucocephala (Lam.) de Wit",63,18,55,3.6,6.33,10,4,7.1,13.5
กระถินเทพา,Acacia mangium,Acacia mangium Willd.,119,3,119,10.2,12.13,14.2,0,11.88,24.8
กระทิง,Calophyllum inophyllum,Calophyllum inophyllum L.,31,19,31,3.5,10.07,17.2,5.1,10.07,17.6
กระทุ่ม,Neolamarckia cadamba,"Neolamarckia cadamba (Roxb.) Bosser",11,2,11,12,12,12,9.9,15.8,21.1
กระท่อมหมู,Mitragyna rotundifolia,"Mitragyna rotundifolia (Roxb.) Kuntze",92,70,88,3.6,8.53,16,4,8.65,20
กระทุ่มนา,Mitragyna diversifolia,"Mitragyna diversifolia (Wall. ex G.Don) Havil.",12,2,12,7.5,7.75,8,4.6,7.8,11
กระท้อน,Sandoricum koetjape,"Sandoricum koetjape (Burm.f.) Merr.",21,13,21,5,9.34,18.4,5.9,13.29,21.1
กระบก,Irvingia malayana,Irvingia malayana Oliv. ex A.W.Benn.,24,13,24,3.7,8.95,15,4.4,11.56,22
กระบาก,Anisoptera costata,Anisoptera costata Korth.,12,6,12,8,16.5,24,7.1,14.53,26
กระพี้จั่น,Millettia brandisiana,Millettia brandisiana Kurz,48,18,44,4,6.99,12,3,7.71,13.8
กระพี้นางนวล,Dalbergia cana,Dalbergia cana Graham ex Kurz,6,5,6,2,7.76,17.8,3.3,8.68,15.5
กระพี้เขาควาย,Dalbergia cultrata,Dalbergia cultrata T.S.Ralph,52,49,52,1.5,7.9,15.5,1.5,9.08,18.4
กระมอบ,Gardenia obtusifolia,Gardenia obtusifolia Roxb. ex Kurz,3,0,3,,,,4,4.87,6.1
กระเชา,Holoptelea integrifolia,"Holoptelea integrifolia (Roxb.) Planch.",6,3,6,12.1,14.13,15.5,4.3,17.2,24.6
กระเบากลัก,Hydnocarpus ilicifolius,Hydnocarpus ilicifolius King,19,0,19,,,,5.8,11.04,18
กระเบาน้ำ,Hydnocarpus castaneus,"Hydnocarpus castaneus Hook.f. & Thomson",4,0,4,,,,4.2,4.53,5.2
กระเบียน,Ceriscoides turgida,"Ceriscoides turgida (Roxb.) Tirveng.",7,0,7,,,,5.6,7.11,8.7
กระแจะ,Naringi crenulata,"Naringi crenulata (Roxb.) Nicolson",5,4,4,3.5,10.43,20,11.4,14.47,18
