No,StarYear,"PlotCode",Name,Province,Amphoe,Tambon,Type,Lat,Lon,GMap,Tag_Count,SP_Count,Shanon,Biomass
1,2023,C10-01-M01,สวนวรุณาวรรณ มหาวิทยาลัยเกษตรศาสตร์,กรุงเทพมหานคร,จตุจักร,ลาดยาว,M,13.84833,100.56292,"https://www.google.com/maps?t=k&q=13.848334,100.56292",42,32,3.38,"22,569.12"
2,2023,C10-01-M02,ป่ากลางกรุง ปตท,กรุงเทพมหานคร,ประเวศ,ดอกไม้,M,13.69157,100.70307,"https://www.google.com/maps?t=k&q=13.691569,100.703065",162,33,3.11,"14,177.43"
3,2023,C10-01-P01,สวนจตุจักร,กรุงเทพมหานคร,จตุจักร,จตุจักร,P,13.80573,100.55499,"https://www.google.com/maps?t=k&q=13.805727,100.554992",59,15,2.14,"11,581.95"
4,2023,C10-01-P02,สวนสมเด็จพระนางเจ้า,กรุงเทพมหานคร,จตุจักร,จตุจักร,P,13.80951,100.55081,"https://www.google.com/maps?t=k&q=13.809508,100.550805",65,19,2.61,"15,075.65"
5,2023,C10-01-P03,สวนวชิระเบญจทัศ,กรุงเทพมหานคร,จตุจักร,จตุจักร,P,13.80676,100.54916,"https://www.google.com/maps?t=k&q=13.806757,100.549155",150,33,2.98,"26,624.27"
6,2023,C11-01-P01,สวนสาธารณะ บางกะเจ้า,สมุทรปราการ,พระประแดง,บางกะเจ้า,P,13.69596,100.56801,"https://www.google.com/maps?t=k&q=13.695957,100.568008",149,16,1.72,"14,809.37"
7,2023,C11-05-P01,สวนเฉลิมพระเกียรติฯ 80,สมุทรปราการ,พระประแดง,ทรงคนอง,P,13.66113,100.55133,"https://www.google.com/maps?t=k&q=13.661127,100.551326",123,13,2.18,"19,041.44"
8,2023,C11-07-P01,บางปู,สมุทรปราการ,เมืองสมุทรปราการ,บางปูใหม่,P,13.51699,100.65323,"https://www.google.com/maps?t=k&q=13.516991,100.65323",189,2,0.13,"11,765.80"
9,2023,C12-01-M01,วัดกลางปากเกร็ด,นนทบุรี,ปากเกร็ด,ปากเกร็ด,M,13.90573,100.49335,"https://www.google.com/maps?t=k&q=13.905727,100.493345",123,41,3.32,"22,484.88"
10,2023,C12-01-P01,สวนสาธารณะหมู่บ้าน,นนทบุรี,ปากเกร็ด,บ้านใหม่,P,13.93868,100.54174,"https://www.google.com/maps?t=k&q=13.938675,100.541742",39,6,1.04,"12,081.18"
11,2023,C12-02-M01,สวนน้ำพระทัย กฟผ,นนทบุรี,บางกรวย,บางกรวย,M,13.81141,100.50668,"https://www.google.com/maps?t=k&q=13.811412,100.506677",22,14,2.54,"18,275.24"
12,2023,C13-01-M01,ศูนย์วิจัยและอบรมด้านสิ่งแวดล้อม,ปทุมธานี,คลองหลวง,คลองห้า,M,14.04611,100.7124,"https://www.google.com/maps?t=k&q=14.046108,100.712402",42,20,2.80,"11,061.55"
13,2023,C13-01-S01,บึงพระราม 9 ปทุมธานี,ปทุมธานี,คลองหลวง,คลองหก,S,14.04688,100.72134,"https://www.google.com/maps?t=k&q=14.046882,100.721343",49,7,1.27,"10,848.36"
14,2023,C14-01-M01,วัดราชบูรณะ,พระนครศรีอยุธยา,พระนครศรีอยุธยา,ท่าวาสุกรี,M,14.35831,100.56778,"https://www.google.com/maps?t=k&q=14.358312,100.567776",6,1,0.00,"9,059.09"
15,2023,C14-01-P01,วัดพระราม,พระนครศรีอยุธยา,พระนครศรีอยุธยา,ประตูชัย,P,14.35426,100.56069,"https://www.google.com/maps?t=k&q=14.354263,100.560686",14,2,0.52,"2,391.09"
16,2023,C14-01-P02,บึงพระราม,พระนครศรีอยุธยา,พระนครศรีอยุธยา,ประตูชัย,P,14.35419,100.56701,"https://www.google.com/maps?t=k&q=14.354187,100.567014",25,5,1.50,"10,650.54"
17,2025,C15-25-M01,วัดม่วง,อ่างทอง,วิเศษชัยชาญ,ไผ่จำศิล,M,14.59428,100.38061,"https://www.google.com/maps?t=k&q=14.59428,100.38061",51,14,2.09,"8,991.07"
18,2025,C15-25-P01,อุทยานสวรรค์,อ่างทอง,เมืองอ่างทอง,หัวไผ่,P,14.53265,100.49011,"https://www.google.com/maps?t=k&q=14.53265,100.49011",30,12,2.05,"7,435.07"
19,2025,C15-25-S01,ห้องสมุดประชาชน เฉลิมราชกุมารี,อ่างทอง,โพธิ์ทอง,อ่างแก้ว,S,14.6612,100.409,"https://www.google.com/maps?t=k&q=14.6612027846723,100.409000512841",22,16,2.69,"32,474.12"
20,2025,C16-25-M01,สถานีพัฒนาที่ดินลพบุรี,ลพบุรี,ชัยบาดาล,นิคมสร้างตนเอง,M,14.80537,100.7708,"https://www.google.com/maps?t=k&q=14.805366,100.770799",34,10,1.84,"12,677.13"
21,2025,C16-25-P01,สวนสัตว์ลพบุรี,ลพบุรี,เมืองลพบุรี,ทะเลชุบศร,P,14.8024,100.63561,"https://www.google.com/maps?t=k&q=14.8024,100.635614",18,8,1.79,"25,091.11"
22,2025,C17-25-M01,วัดหัวว่าว,สิงห์บุรี,เมืองสิงห์บุรี,บางมัญ,M,14.90524,100.38821,"https://www.google.com/maps?t=k&q=14.90524,100.38821",65,8,1.22,"265,945.19"
23,2025,C17-25-S01,สวนน้ำเพื่อสุขภาพและการท่องเที่ยว,สิงห์บุรี,เมืองสิงห์บุรี,ต้นโพธิ์,S,14.87147,100.41296,"https://www.google.com/maps?t=k&q=14.87147,100.41296",44,5,0.76,"7,181.93"
24,2025,C18-25-M01,วัดป่าดงเย็น,ชัยนาท,หันคา,หนองแซง,M,15.08821,99.96691,"https://www.google.com/maps?t=k&q=15.08821,99.96691",76,6,1.01,"40,716.01"
25,2025,C18-25-P01,สวนสาธารณะเฉลิมพระเกียรติ หนองระแหง,ชัยนาท,เมืองชัยนาท,บ้านกล้วย,P,15.17274,100.13345,"https://www.google.com/maps?t=k&q=15.17274,100.13345",43,11,1.69,"11,668.57"
26,2025,C19-25-M01,วัดถ้ำกระบอก,สระบุรี,พระพุทธบาท,ขุนโขลน,M,14.70599,100.82747,"https://www.google.com/maps?t=k&q=14.70599,100.82747",43,12,2.12,"17,403.60"
27,2025,C19-25-P01,สวนสุขภาพชุมชนกองเครื่องช่วยฝึก,สระบุรี,เมืองสระบุรี,ปากเพรียว,P,14.52844,100.90109,"https://www.google.com/maps?t=k&q=14.52844,100.90109",6,1,0.00,"20,691.64"
28,2025,C19-25-M02,วัดโบสถ์แจ้ง,สระบุรี,บ้านหมอ,ตลาดน้อย,M,14.6277,100.72359,"https://www.google.com/maps?t=k&q=14.627696,100.72359",41,11,1.99,"30,718.43"
29,2025,C26-25-M01,วัดอุดมธานี,นครนายก,เมืองนครนายก,บ้านใหญ่,M,14.20837,101.22577,"https://www.google.com/maps?t=k&q=14.20837,101.22577",37,9,1.43,"165,138.62"
30,2025,C26-25-P01,เมืองโบราณดงละคร,นครนายก,เมืองนครนายก,ดงละคร,P,14.15929,101.16734,"https://www.google.com/maps?t=k&q=14.15929,101.16734",28,14,2.22,"82,167.59"
31,2025,C60-25-M01,วัดวรนาถบรรพต,นครสวรรค์,เมืองนครสวรรค์,ปากน้ำโพ,M,15.71397,100.13515,"https://www.google.com/maps?t=k&q=15.71397,100.13515",95,17,2.49,"33,036.88"
32,2025,C60-25-P01,สวนหน้าโรงเรียนนครสวรรค์,นครสวรรค์,เมืองนครสวรรค์,ปากน้ำโพ,P,15.71262,100.13433,"https://www.google.com/maps?t=k&q=15.71262,100.13433",19,9,2.00,"16,092.98"
33,2025,C61-25-M01,อาคารสวนน้ำเฉลิมพระเกียรติ (บึงพระชนก),อุทัยธานี,เมืองอุทัยธานี,สะแกกรัง,S,15.37518,100.05696,"https://www.google.com/maps?t=k&q=15.3751844877423,100.05696411",27,6,0.96,"19,654.28"
34,2025,C61-25-P01,ศูนย์เรียนรู้ตามศาสตร์พระราชาเกษตรทฤษฎีใหม่,อุทัยธานี,ทัพทัน,หนองหญ้าปล้อง,P,15.50266,99.91473,"https://www.google.com/maps?t=k&q=15.50266,99.91473",89,21,2.30,"23,567.02"
35,2025,C61-25-S01,เกาะกลางถนน 3438,อุทัยธานี,ลานสัก,ลานสัก,S,15.46767,99.53689,"https://www.google.com/maps?t=k&q=15.46767,99.53689",11,3,0.92,"32,744.59"
36,2025,C62-25-M01,วัดกรุสี่ห้อง,กำแพงเพชร,เมืองกำแพงเพชร,หนองปลิง,M,16.50571,99.52006,"https://www.google.com/maps?t=k&q=16.50571,99.52006",46,17,2.54,"28,794.57"
37,2025,C62-25-P01,สวนสาธารณะ สิริจิตอุทยาน,กำแพงเพชร,เมืองกำแพงเพชร,ในเมือง,P,16.47354,99.52609,"https://www.google.com/maps?t=k&q=16.47354,99.52609",19,5,0.92,"42,517.70"
38,2025,C62-25-P02,สวนสาธารณะสิริจิตอุทยานกำแพงเพชร,กำแพงเพชร,เมืองกำแพงเพชร,ในเมือง,P,16.47132,99.52722,"https://www.google.com/maps?t=k&q=16.4713157462731,99.5272205043395",27,4,1.11,"39,499.41"
39,2023,C64-02-M01,วัดสิริเขตคีรี,สุโขทัย,ศรีสัชนาลัย,ศรีสัชนาลัย,M,17.40159,99.76717,"https://www.google.com/maps?t=k&q=17.401591,99.767167",257,33,2.80,"27,574.11"
40,2023,C64-02-M02,วัดป่าขมิ้น,สุโขทัย,ศรีสัชนาลัย,ศรีสัชนาลัย,M,17.42382,99.78962,"https://www.google.com/maps?t=k&q=17.423824,99.789623",107,32,3.03,"25,353.96"
41,2023,C64-02-P01,อุทยานประวัติศาสตร์ศรีสัชนาลัย,สุโขทัย,ศรีสัชนาลัย,ศรีสัชนาลัย,P,17.42678,99.78864,"https://www.google.com/maps?t=k&q=17.426776,99.788644",66,19,2.48,"46,735.79"
42,2023,C65-01-P01,สวนชมน่าน,พิษณุโลก,เมืองพิษณุโลก,ในเมือง,P,16.81828,100.25937,"https://www.google.com/maps?t=k&q=16.818282,100.259365",28,12,2.00,"16,935.72"
43,2023,C65-01-P02,พุทธมณฑลพิษณุโลก,พิษณุโลก,เมืองพิษณุโลก,อรัญญิก,P,16.82445,100.29094,"https://www.google.com/maps?t=k&q=16.824449,100.290944",51,16,2.48,"16,572.53"
