No,Family,Genus,Species,Botanical_Name,Botanical_NoAuthor,Thai_Name,YCount,Y2023,Y2025,AiTaxonomy,Source,Specificity,WoodDensity_Forest,WoodDensity_Plantation,WD_Class,WD_ForestInRange
1,Acanthaceae,Avicennia,alba,Avicennia alba Blume,Avicennia alba,แสมขาว,2,1,1,TRUE,กรมป่าไม้(2548),Species,639,,3,
2,Acanthaceae,Avicennia,marina,Avicennia marina (Forssk.) Vierh.,Avicennia marina,แสมทะเล,2,1,1,FALSE,กรมป่าไม้(2548),Species,790,,2,
3,Acanthaceae,Avicennia,officinalis,Avicennia officinalis L.,Avicennia officinalis,แสมดำ,2,1,1,FALSE,กรมป่าไม้(2548),Genus,714.5,,2,
4,Achariaceae,Hydnocarpus,castaneus,Hydnocarpus castaneus Hook.f. & Thomson,Hydnocarpus castaneus,กระเบาน้ำ,1,0,1,FALSE,Global,Genus,634,,3,
5,Achariaceae,Hydnocarpus,ilicifolius,Hydnocarpus ilicifolius King,Hydnocarpus ilicifolius,กระเบากลัก,2,1,1,FALSE,กรมป่าไม้(2548),Species,1010,,1,
6,Anacardiaceae,Anacardium,occidentale,Anacardium occidentale L.,Anacardium occidentale,มะม่วงหิมพานต์,2,1,1,FALSE,"Zanne et al., 2009",Species,446.5,,3,
7,Anacardiaceae,Bouea,oppositifolia,Bouea oppositifolia (Roxb.) Meisn.,Bouea oppositifolia,มะปริง,1,0,1,FALSE,Global,Species,745,,2,
8,Anacardiaceae,Buchanania,arborescens,Buchanania arborescens (Blume) Blume,Buchanania arborescens,จ้าม่วง,1,1,0,FALSE,กรมป่าไม้(2548),Species,700,,2,
9,Anacardiaceae,Buchanania,cochinchinensis,Buchanania cochinchinensis (Lour.) M.R.Almeida,Buchanania cochinchinensis,มะม่วงหัวแมงวัน,2,1,1,FALSE,กรมป่าไม้(2548),Species,700,,2,
10,Anacardiaceae,Buchanania,reticulata,Buchanania reticulata Hance,Buchanania reticulata,หัวแมงวัน,1,0,1,FALSE,Global,Genus,411,,3,
11,Anacardiaceae,Buchanania,siamensis,Buchanania siamensis Miq.,Buchanania siamensis,ธนนไชย,2,1,1,FALSE,กรมป่าไม้(2548),Species,700,,2,
12,Anacardiaceae,Gluta,Unknown,Gluta sp.Buriram1,Gluta sp.Buriram1,,1,0,1,FALSE,Global,Genus,583,,3,
13,Anacardiaceae,Gluta,Unknown,Gluta sp.Trat1,Gluta sp.Trat1,,1,0,1,FALSE,Global,Genus,583,,3,
14,Anacardiaceae,Gluta,laccifera,Gluta laccifera (Pierre) Ding Hou,Gluta laccifera,น้ำเกลี้ยง,2,1,1,FALSE,IPCC(2006),Species,630,,3,
15,Anacardiaceae,Gluta,usitata,Gluta usitata (Wall.) Ding Hou,Gluta usitata,รักใหญ่,2,1,1,FALSE,Global,Species,740,,2,
16,Anacardiaceae,Lannea,coromandelica,Lannea coromandelica (Houtt.) Merr.,Lannea coromandelica,กุ๊ก,2,1,1,FALSE,IPCC(2006),Species,520,,3,
17,Anacardiaceae,Mangifera,Unknown,Mangifera sp.,Mangifera sp.,,1,0,1,FALSE,กรมป่าไม้(2548),Species,810,,2,
18,Anacardiaceae,Mangifera,caloneura,Mangifera caloneura Kurz,Mangifera caloneura,มะม่วงป่า,2,1,1,FALSE,IPCC(2006),Species,630,,3,
19,Anacardiaceae,Mangifera,indica,Mangifera indica L.,Mangifera indica,มะม่วง,2,1,1,FALSE,กรมป่าไม้(2548),Species,727,,2,
20,Anacardiaceae,Semecarpus,cochinchinensis,Semecarpus cochinchinensis Engl.,Semecarpus cochinchinensis,รักขาว,2,1,1,FALSE,Global,Species,358,,3,
21,Anacardiaceae,Semecarpus,curtisii,Semecarpus curtisii King,Semecarpus curtisii,รักเขา,1,1,0,FALSE,Global,Genus,358,,3,
